Timestamp,Transactions,USD
2017-04-06,7,849801
2017-04-08,1,0
2017-04-13,3,6272
2017-04-16,4,2143
2017-04-19,8,13638
2017-04-24,1,26
2017-04-25,1,51
2017-04-27,1,2239
2017-04-29,1,81
2017-05-02,11,4532
2017-05-03,2,6489
2017-05-05,1,3
2017-05-07,1,4
2017-05-08,1,3232
2017-05-09,2,61697
2017-05-10,1,177
2017-05-11,1,884
2017-05-12,23,37
2017-05-13,3,11
2017-05-14,1,6
2017-05-16,2,5339
2017-05-17,6,848
2017-05-18,8,20480
2017-05-19,5,233
2017-05-22,1,13
2017-05-23,3,1720
2017-05-24,4,5943
2017-05-25,1,19
2017-05-26,1,1
2017-05-27,3,1
2017-05-28,4,222
2017-05-29,1,155
2017-05-30,7,17610
2017-05-31,6,7138
2017-06-01,6,1395
2017-06-02,1,224
2017-06-03,6,5085
2017-06-06,3,453
2017-06-07,1,1993
2017-06-08,1,5329
2017-06-09,5,1952675
2017-06-10,2,507
2017-06-11,1,10232
2017-06-12,35,123050
2017-06-13,8,195
2017-06-14,1,1043
2017-06-15,2,26097
2017-06-16,3,2468
2017-06-18,4,259
2017-06-19,1,0
2017-06-20,18,155018
2017-06-21,10,15673
2017-06-22,2,2586
2017-06-23,1,520
2017-06-24,1,6381
2017-06-25,2,2427
2017-06-26,6,106183
2017-06-27,1,56
2017-06-28,4,8093
2017-06-29,2,945617
2017-06-30,6,617
2017-07-01,5,7116
2017-07-02,1,29
2017-07-03,5,120
2017-07-04,2,54
2017-07-05,4,106
2017-07-07,4,108
2017-07-08,10,368
2017-07-09,3,525
2017-07-10,6,853
2017-07-12,2,15070
2017-07-13,2,15081
2017-07-16,3,57
2017-07-19,1,7586
2017-07-20,1,6704
2017-07-21,1,2
2017-07-22,1,1128
2017-07-24,3,105
2017-07-27,1,406
2017-07-28,1,6
2017-08-01,2,1013
2017-08-02,2,11493
2017-08-05,1,800
2017-08-09,1,0
2017-08-10,1,594
2017-08-13,3,2088
2017-08-19,1,1186
2017-08-21,7,1291
2017-08-22,3,1405
2017-08-23,2,158396132
2017-08-30,1,543
2017-09-01,2,30907
2017-09-02,3,23164
2017-09-03,3,3
2017-09-05,1,0
2017-09-07,1,5
2017-09-10,1,278
2017-09-15,1,1691973
2017-09-19,3,6731
2017-09-20,1,279
2017-09-26,3,85
2017-09-27,2,638
2017-09-28,3,12067
2017-09-30,2,75
2017-10-01,1,0
2017-10-02,1,263298
2017-10-05,1,4674
2017-10-06,2,4
2017-10-07,2,3
2017-10-11,5,1830
2017-10-13,1,247
2017-10-15,1,335
2017-10-18,2,5103
2017-10-19,2,1221
2017-10-23,2,0
2017-10-24,17,17493
2017-10-25,1,239
2017-10-27,24,6851
2017-10-28,30,83
2017-10-29,5,759
2017-10-30,4,966
2017-11-02,1,0
2017-11-03,1,2
2017-11-04,9,25451
2017-11-06,1,603
2017-11-09,1,644
2017-11-11,1,316
2017-11-12,3,16466
2017-11-13,2,96
2017-11-15,1,9
2017-11-16,1,3
2017-11-19,1,4
2017-11-26,1,4690
2017-12-01,1,140
2017-12-02,2,7
2017-12-03,1,0
2017-12-05,2,14
2017-12-08,1,47
2017-12-09,24,174
2017-12-10,1,199
2017-12-11,1,5
2017-12-12,11,706
2017-12-13,2,505
2017-12-14,6,34
2017-12-15,5,3528
2017-12-16,2,11
2017-12-17,2,15
2017-12-18,23,147
2017-12-19,4,70204
2017-12-20,2,12209
2017-12-21,1,40326
2017-12-22,1,0
2017-12-24,3,0
2017-12-26,1,387
2017-12-30,5,265385
2018-01-02,2,0
2018-01-04,1,1468
2018-01-08,1,79
2018-01-09,1,91
2018-01-11,6,11864
2018-01-12,2,418
2018-01-13,4,3339
2018-01-14,1,248
2018-01-15,1,26593
2018-01-16,2,3420
2018-01-17,3,8931
2018-01-19,1,73
2018-01-21,1,6
2018-01-22,1,55021
2018-01-24,4,1060
2018-01-25,1,2722
2018-01-27,6,41
2018-01-28,8,119
2018-01-29,1,673
2018-01-30,1,3253
2018-02-03,6,28
2018-02-06,7,5751
2018-02-07,2,2357
2018-02-10,1,871
2018-02-11,1,940
2018-02-13,3,6788
2018-02-15,2,1007
2018-02-17,1,935
2018-02-19,1,2
2018-02-21,2,14
2018-02-27,4,28
2018-02-28,4,1325
2018-03-01,1,1397
2018-03-13,1,0
2018-03-15,4,0
2018-03-18,1,6
2018-03-19,12,2267
2018-03-20,1,17
2018-03-21,3,2
2018-03-23,1,1
2018-03-24,11,51
2018-03-25,1,821
2018-03-28,1,45
2018-03-29,10,489
2018-03-31,1,441
2018-04-01,2,3
2018-04-03,1,0
2018-04-04,1,0
2018-04-05,5,76
2018-04-06,7,0
2018-04-07,2,0
2018-04-08,1,0
2018-04-10,8,0
2018-04-11,4,0
2018-04-12,20,212
2018-04-13,56,637
2018-04-14,2,1
2018-04-15,4,0
2018-04-16,7,0
2018-04-17,7,0
2018-04-18,2,0
2018-04-19,3,52
2018-04-20,7,0
2018-04-21,7,0
2018-04-22,4,8
2018-04-23,1,0
2018-04-24,4,1
2018-04-25,3,7
2018-04-26,3,0
2018-04-30,1,20
2018-05-04,1,7814
2018-05-06,2,0
2018-05-07,1,55
2018-05-08,5,0
2018-05-12,2,35
2018-05-15,2,73
2018-05-16,5,11250
2018-05-19,3,16469
2018-05-20,1,19129
2018-05-22,3,4
2018-05-23,2,2018
2018-05-24,1,166
2018-05-26,2,2
2018-05-27,7,97
2018-05-28,1,64753
2018-05-30,2,1399
2018-06-07,3,495
2018-06-11,1,0
2018-06-12,1,0
2018-06-15,1,26945
2018-06-18,4,3
2018-06-22,6,535
2018-06-24,1,0
2018-06-27,2,674
2018-06-30,1,39
2018-07-15,1,45
2018-07-16,1,45
2018-07-20,1,1627
2018-07-22,1,0
2018-07-25,5,2
2018-07-26,11,480
2018-07-27,2,0
2018-07-30,3,51353
2018-08-01,5,722
2018-08-02,3,48
2018-08-03,4,9
2018-08-04,4,85
2018-08-05,2,421
2018-08-08,3,2
2018-08-09,2,0
2018-08-11,2,3
2018-08-12,1,124
2018-08-13,1,71
2018-08-15,3,33
2018-08-18,1,25
2018-08-20,1,90
2018-08-22,2,56
2018-08-23,2,55
2018-08-24,2,1655
2018-08-25,2,56
2018-08-28,2,57392
2018-08-30,7,0
2018-09-02,2,12
2018-09-12,2,8
2018-09-13,4,7
2018-09-14,1,2
2018-09-22,3,7
2018-09-24,6,9799
2018-09-25,5,41140
2018-09-26,2,100
2018-09-27,10,21
2018-09-28,2,0
2018-09-29,2,1513
2018-09-30,5,1437
2018-10-02,4,1
2018-10-03,1,1
2018-10-05,1,1303
2018-10-06,3,2709
2018-10-13,1,9
2018-10-14,1,56
2018-10-15,2,387
2018-10-18,10,13087
2018-10-21,1,34
2018-10-24,1,2
2018-10-25,1,1348
2018-10-28,1,0
2018-10-31,2,4265
2018-11-01,2,0
2018-11-02,1,3982
2018-11-03,1,25
2018-11-04,3,84
2018-11-05,1,103
2018-11-07,2,180
2018-11-08,191,8922
2018-11-09,3,39
2018-11-10,45,9276
2018-11-11,1,0
2018-11-12,1,2
2018-11-13,1,240
2018-11-14,1,154
2018-11-15,1,2
2018-11-16,1,32
2018-11-18,5,217
2018-11-21,1,69
2018-11-23,2,1
2018-11-24,8,0
2018-11-25,6,0
2018-11-28,1,40
2018-12-01,1,11
2018-12-03,1,0
2018-12-05,2,44
2018-12-06,4,29677
2018-12-11,1,590
2018-12-14,1,43
2018-12-15,2,0
2018-12-16,7,900
2018-12-20,3,978
2018-12-21,1,113
2018-12-22,1,44
2018-12-23,1,321
2018-12-25,4,3
2018-12-26,1,3
2018-12-28,13,116
2018-12-29,1,8
2018-12-31,1,4
2019-01-01,1,12
2019-01-25,1,349
2019-01-31,1,433
2019-02-04,1,21
2019-02-10,3,240
2019-02-20,1,4093
2019-02-21,1,1992
2019-03-04,2,26
2019-03-10,1,0
2019-03-30,1,14
2019-04-10,1,275
2019-04-17,1,4178
2019-04-23,1,0
2019-05-02,1,114832
2019-05-06,2,2
2019-05-13,1,2060
2019-05-14,2,0
2019-05-15,2,4
2019-05-20,1,52
2019-05-22,1,15
2019-05-31,1,25538
2019-06-04,1,2014
2019-06-13,22,7
2019-06-30,1,3099490
2019-07-09,20,6
2019-08-09,1,1
2019-08-12,1,10184
2019-08-15,5,263
2019-08-17,1,0
2019-09-04,2,1
2019-09-28,1,0
2019-09-30,1,387221
2019-10-28,56,10
2019-10-30,1,0
2019-11-01,7,281
2019-11-04,2,73
2019-11-05,1,0
2019-11-06,2,3
2019-11-15,1,11
2019-11-18,1,18
2019-12-10,16,0
2019-12-11,24,0
2019-12-12,28,0
2019-12-13,3,0
2019-12-17,12,0
2019-12-18,1,0
2019-12-21,4,0
2019-12-22,8,0
2019-12-23,8,0
2019-12-24,11,1
2020-01-26,1,48
2020-02-02,2,110
2020-02-06,4,7
2020-02-11,1,219664
2020-02-14,1,27
2020-02-15,2,0
2020-02-17,3,12
2020-02-19,1,764
2020-02-21,2,913
2020-02-22,1,483
2020-02-25,2,7168
2020-02-26,2,0
2020-02-27,3,9553
2020-02-28,1,0
2020-03-02,2,95238919
2020-03-03,1,40544
2020-03-04,1,1742
2020-03-05,3,193
2020-03-06,4,0
2020-03-07,1,12
2020-03-08,1,700
2020-03-09,2,3187
2020-03-11,1,0
2020-03-12,3,182
2020-03-15,1,2
2020-03-16,1,0
2020-03-17,2,1392
2020-03-18,1,18420
2020-03-19,2,235
2020-03-20,1,5295
2020-03-22,1,5106
2020-03-23,2,25
2020-03-24,1,14
2020-03-25,2,0
2020-03-26,1,14
2020-03-27,1,16046
2020-03-28,2,14
2020-03-29,1,0
2020-04-01,2,526
2020-04-02,2,1672
2020-04-04,2,100
2020-04-06,15,822
2020-04-07,1,0
2020-04-09,1,0
2020-04-10,4,14
2020-04-11,9,5047685
2020-04-12,3,759974
2020-04-13,19,556023
2020-04-14,2,31340
2020-04-15,2,47480
2020-04-16,97,48
2020-04-17,2,2080
2020-04-18,1,253
2020-04-20,1,776
2020-04-21,2,478
2020-04-22,2,1856
2020-04-24,2,523
2020-04-25,3,1529241
2020-04-26,5,5133
2020-04-28,7,4875
2020-04-29,1,2
2020-04-30,1,541
2020-05-01,1,0
2020-05-03,1,2139
2020-05-04,18,1680
